book,chunk,text
1Th,7,μάρτυς οὔτε ζητέω ἐκ ἄνθρωπος δόξα οὔτε ἀπό ὑμεῖς οὔτε ἀπ ’ ἄλλος δύναμαι ἐν βάρος εἰμί ὡς χριστός ἀπόστολος · ἀλλά γίγνομαι ⸀ἤπιος ἐν μέσος ὑμεῖς ὡς ⸀ἐάν τροφός θάλπω ὁ ἑαυτοῦ τέκνον · οὕτω(ς) ὁμείρομαι ὑμεῖς εὐδοκέω μεταδίδωμι σύ οὐ μόνος ὁ εὐαγγέλιον ὁ θεός ἀλλά καί ὁ
1Th,8,ἑαυτοῦ ψυχή διότι ἀγαπητός ἐγώ ⸀ἐγίγνομαι μνημονεύω γάρ ἀδελφός ὁ κόπος ἡμεῖς καί ὁ μόχθος · ⸀νύξ καί ἡμέρα ἐργάζομαι πρός ὁ μή ἐπιβαρέω τὶς ὑμεῖς κηρύσσω εἰς ὑμεῖς ὁ εὐαγγέλιον ὁ θεός ὑμεῖς μάρτυς καί ὁ θεός ὡς ὁσίως καί δίκαιος καί ἄμεμπτος ὑμεῖς ὁ πιστεύω γίγνομαι καθά οἶδα
1Th,9,ὡς εἷς ἕκαστος ὑμεῖς ὡς πατήρ τέκνον ἑαυτοῦ παρακαλέω ὑμεῖς καί παραμυθέομαι καί μαρτύρομαι εἰς ὁ ⸀περιπατέω ὑμεῖς ἀξίως ὁ θεός ὁ καλέω ὑμεῖς εἰς ὁ ἑαυτοῦ βασιλεία καί δόξα ⸀Καί διά οὗτος καί ἡμεῖς εὐχαριστέω ὁ θεός ἀδιαλείπτως ὅτι παραλαμβάνω λόγος ἀκοή παρά ἡμεῖς ὁ θεός δέχομαι οὐ λόγος
1Th,10,ἄνθρωπος ἀλλά καθώς ⸂ἀληθῶς ἐστὶν⸃ λόγος θεός ὅς καί ἐνεργέω ἐν ὑμεῖς ὁ πιστεύω ὑμεῖς γάρ μιμητής γίγνομαι ἀδελφός ὁ ἐκκλησία ὁ θεός ὁ εἰμί ἐν ὁ ἰουδαία ἐν χριστός ἰησοῦς ὅτι ὁ αὐτός πάσχω καί ὑμεῖς ὑπό ὁ ἴδιος συμφυλέτης καθώς καί αὐτός ὑπό ὁ ἰουδαῖος ὁ καί ὁ
1Th,11,κύριος ἀποκτείνω ἰησοῦς καί ⸀τοὺς προφήτης καί ἡμεῖς ἐκδιώκω καί θεός μή ἀρέσκω καί πᾶς ἄνθρωπος ἐναντίος κωλύω ἡμεῖς ὁ ἔθνος λαλέω ἵνα σῴζω εἰς ὁ ἀναπληρόω αὐτός ὁ ἁμαρτία πάντοτε φθάνω δέ ἐπί αὐτός ὁ ⸀ὀργή εἰς τέλος ἐγώ δέ ἀδελφός ἀπορφανίζω ἀπό ὑμεῖς πρός καιρός ὥρα πρόσωπον οὐ
1Th,12,καρδία περισσῶς σπουδάζω ὁ πρόσωπον ὑμεῖς εἶδον ἐν πολύς ἐπιθυμία ⸀διότι ἐθέλω ἔρχομαι πρός σύ ἐγώ μέν παῦλος καί ἅπαξ καί δίς καί ἐγκόπτω ἡμεῖς ὁ σατανᾶς τίς γάρ ἡμεῖς ἐλπίς ἤ χαρά ἤ στέφανος καύχησις — ἤ οὐ καί σύ — ἔμπροσθεν ὁ κύριος ἡμεῖς ἰησοῦς ἐν ὁ αὐτός
1Th,13,παρουσία ὑμεῖς γάρ εἰμί ὁ δόξα ἡμεῖς καί ὁ χαρά διό μηκέτι στέγω εὐδοκέω καταλείπω ἐν ἀθῆναι μόνος καί πέμπω τιμόθεος ὁ ἀδελφός ἡμεῖς καί ⸀συνεργός ὁ ⸀θεός ἐν ὁ εὐαγγέλιον ὁ χριστός εἰς ὁ στηρίζω ὑμεῖς καί παρακαλέω ⸀ὑπέρ ὁ πίστις ὑμεῖς ὁ μηδείς σαίνω ἐν ὁ θλῖψις οὗτος
1Th,14,αὐτός γάρ οἶδα ὅτι εἰς οὗτος κεῖμαι · καί γάρ ὅτε πρός σύ εἰμί προλέγω σύ ὅτι μέλλω θλίβω καθώς καί γίγνομαι καί οἶδα διά οὗτος ἐκἀ ἐγὼ μηκέτι στέγω πέμπω εἰς ὁ γιγνώσκω ὁ πίστις ὑμεῖς μή οὔπως πειράζω ὑμεῖς ὁ πειράζω καί εἰς κενός γίγνομαι ὁ κόπος ἡμεῖς
1Th,15,ἄρτι δέ ἔρχομαι τιμόθεος πρός ἡμεῖς ἀπό ὑμεῖς καί εὐαγγελίζω ἡμεῖς ὁ πίστις καί ὁ ἀγάπη ὑμεῖς καί ὅτι ἔχω μνεία ἡμεῖς ἀγαθός πάντοτε ἐπιποθέω ἡμεῖς εἶδον καθά καί ἡμεῖς ὑμεῖς διά οὗτος παρακαλέω ἀδελφός ἐφ ά σύ ἐπί πᾶς ὁ ⸂ἀνάγκη καί θλίψει⸃ ἡμεῖς διά ὁ ὑμεῖς πίστις ὅτι
1Th,16,νῦν ζῶ ἐάν ὑμεῖς στήκω ἐν κύριος τις γάρ εὐχαριστία δύναμαι ὁ θεός ἀνταποδίδωμι περί ὑμεῖς ἐπί πᾶς ὁ χαρά ὅς χαίρω διὰ ὑμεῖς ἔμπροσθεν ὁ θεός ἡμεῖς νύξ καί ἡμέρα ὑπερεκπερισσοῦ δέω εἰς ὁ εἶδον ὑμεῖς ὁ πρόσωπον καί καταρτίζω ὁ ὑστέρημα ὁ πίστις ὑμεῖς αὐτός δέ ὁ θεός
1Th,17,καί πατήρ ἡμεῖς καί ὁ κύριος ἡμεῖς ⸀Ἰησοῦς κατευθύνω ὁ ὁδός ἡμεῖς πρός ὑμεῖς · ὑμεῖς δέ ὁ κύριος πλεονάζω καί περισσεύω ὁ ἀγάπη εἰς ἀλλήλων καί εἰς πᾶς καθά καί ἡμεῖς εἰς ὑμεῖς εἰς ὁ στηρίζω ὑμεῖς ὁ καρδία ἄμεμπτος ἐν ἁγιωσύνη ἔμπροσθεν ὁ θεός καί πατήρ ἡμεῖς ἐν
1Th,18,ὁ παρουσία ὁ κύριος ἡμεῖς ⸀Ἰησοῦς μετά πᾶς ὁ ἅγιος ⸀αὐτός λοιπός ⸀οὖν ἀδελφός ἐρωτάω ὑμεῖς καί παρακαλέω ἐν κύριος ἰησοῦς ⸀ἵνα καθώς παραλαμβάνω παρά ἡμεῖς ὁ πῶς δεῖ ὑμεῖς περιπατέω καί ἀρέσκω θεός ⸂καθώς καί περιπατεῖτε⸃ ἵνα περισσεύω μᾶλλον οἶδα γάρ τίς παραγγελία δίδωμι σύ διά ὁ κύριος ἰησοῦς
1Th,19,οὗτος γάρ εἰμί θέλημα ὁ θεός ὁ ἁγιασμός ὑμεῖς ἀπέχω ὑμεῖς ἀπό ὁ πορνεία οἶδα ἕκαστος ὑμεῖς ὁ ἑαυτοῦ σκεῦος κτάομαι ἐν ἁγιασμός καί τιμή μή ἐν πάθος ἐπιθυμία καθάπερ καί ὁ ἔθνος ὁ μή οἶδα ὁ θεός ὁ μή ὑπερβαίνω καί πλεονεκτέω ἐν ὁ πρᾶγμα ὁ ἀδελφός αὐτός διότι
1Th,20,ἔκδικος ⸀κύριος περί πᾶς οὗτος καθώς καί προλέγω ὑμεῖς καί διαμαρτύρομαι οὐ γάρ καλέω ἐγώ ὁ θεός ἐπί ἀκαθαρσία άλλὰ ἐν ἁγιασμός τοιγαροῦν ὁ ἀθετέω οὐ ἄνθρωπος ἀθετέω ἀλλά ὁ θεός ὁ ⸀καί ⸀δίδωμι ὁ πνεῦμα αὐτός ὁ ἅγιος εἰς ὑμεῖς περί δέ ὁ φιλαδελφία οὐ χρεία ἔχω γράφω σύ
1Th,21,αὐτός γάρ ὑμεῖς θεοδίδακτος εἰμί εἰς ὁ ἀγαπάω ἀλλήλων · καί γάρ ποιέω αὐτός εἰς πᾶς ὁ ἀδελφός ὁ ἐν ὅλος ὁ μακεδονία παρακαλέω δέ ὑμεῖς ἀδελφός περισσεύω μᾶλλον καί φιλοτιμέομαι ἡσυχάζω καί πράσσω ὁ ἴδιος καί ἐργάζομαι ⸀ταῖς χείρ ὑμεῖς καθώς σύ παραγγέλλω ἵνα περιπατέω εὐσχήμων πρός ὁ ἔξω
1Th,22,καί μηδείς χρεία ἔχω οὐ ἐθέλω δέ ὑμεῖς ἀγνοέω ἀδελφός περί ὁ ⸀κοιμάομαι ἵνα μή λυπέω καθώς καί ὁ λοιπός ὁ μή ἔχω ἐλπίς εἰ γάρ πιστεύω ὅτι ἰησοῦς ἀποθνήσκω καί ἀνίστημι οὕτω(ς) καί ὁ θεός ὁ κοιμάομαι διά ὁ ἰησοῦς ἄγω σύν αὐτός οὗτος γάρ σύ λέγω ἐν λόγος
1Th,23,κύριος ὅτι ἐγώ ὁ ζῶ ὁ περιλείπομαι εἰς ὁ παρουσία ὁ κύριος οὐ μή φθάνω ὁ κοιμάομαι · ὅτι αὐτός ὁ κύριος ἐν κέλευσμα ἐν φωνή ἀρχάγγελος καί ἐν σάλπιγξ θεός καταβαίνω ἀπ ’ οὐρανός καί ὁ νεκρός ἐν χριστός ἀνίστημι πρῶτος ἔπειτα ἐγώ ὁ ζῶ ὁ περιλείπομαι ἅμα σύν
1Th,24,αὐτός ἁρπάζω ἐν νεφέλη εἰς ἀπάντησις ὁ κύριος εἰς ἀήρ · καί οὕτω(ς) πάντοτε σύν κύριος εἰμί ὥστε παρακαλέω ἀλλήλων ἐν ὁ λόγος οὗτος περί δέ ὁ χρόνος καί ὁ καιρός ἀδελφός οὐ χρεία ἔχω σύ γράφω αὐτός γάρ ἀκριβῶς οἶδα ⸀ὅτι ἡμέρα κύριος ὡς κλέπτης ἐν νύξ οὕτω(ς) ἔρχομαι
1Th,25,⸀ὅταν λέγω · εἰρήνη καί ἀσφάλεια τότε αἰφνίδιος αὐτός ἐφίστημι ὄλεθρος ὥσπερ ὁ ὠδίν ὁ ἐν γαστήρ ἔχω καί οὐ μή ἐκφεύγω σύ δέ ἀδελφός οὐ εἰμί ἐν σκότος ἵνα ὁ ἡμέρα ὑμεῖς ὡς ⸀κλέπτης καταλαμβάνω πᾶς ⸀γάρ σύ υἱός φῶς εἰμί καί υἱός ἡμέρα οὐ εἰμί νύξ οὐδέ σκότος
1Th,26,· ἆρα οὖν μή καθεύδω ⸀ὡς ὁ λοιπός ἀλλά γρηγορέω καί νήφω ὁ γάρ καθεύδω νύξ καθεύδω καί ὁ μεθύσκω νύξ μεθύω · ἐγώ δέ ἡμέρα εἰμί νήφω ἐνδύω θώραξ πίστις καί ἀγάπη καί περικεφαλαία ἐλπίς σωτηρία · ὅτι οὐ τίθημι ἐγώ ὁ θεός εἰς ὀργή ἀλλά εἰς περιποίησις σωτηρία
1Th,27,διά ὁ κύριος ἡμεῖς ἰησοῦς χριστός ὁ ἀποθνήσκω ⸀περί ἡμεῖς ἵνα εἴτε γρηγορέω εἴτε καθεύδω ἅμα σύν αὐτός ζῶ διό παρακαλέω ἀλλήλων καί οἰκοδομέω εἰς ὁ εἷς καθώς καί ποιέω ἐρωτάω δέ ὑμεῖς ἀδελφός οἶδα ὁ κοπιάω ἐν σύ καί προΐστημι ὑμεῖς ἐν κύριος καί νουθετέω ὑμεῖς καί ἡγέομαι αὐτός
1Th,28,⸀ὑπερεκπερισσοῦ ἐν ἀγάπη διά ὁ ἔργον αὐτός εἰρηνεύω ἐν ⸀ἑαυτοῦ παρακαλέω δέ ὑμεῖς ἀδελφός νουθετέω ὁ ἄτακτος παραμυθέομαι ὁ ὀλιγόψυχος ἀντέχω ὁ ἀσθενής μακροθυμέω πρός πᾶς ὁράω μή τις κακός ἀντί κακός τις ἀποδίδωμι ἀλλά πάντοτε ὁ ἀγαθός ⸀διώκω εἰς ἀλλήλων καί εἰς πᾶς πάντοτε χαίρω ἀδιαλείπτως προσεύχομαι ἐν πᾶς
1Th,29,εὐχαριστέω · οὗτος γάρ θέλημα θεός ἐν χριστός ἰησοῦς εἰς σύ ὁ πνεῦμα μή σβέννυμι προφητεία μή ἐξουθενέω · πᾶς δέ δοκιμάζω ὁ καλός κατέχω ἀπό πᾶς εἶδος πονηρός ἀπέχω αὐτός δέ ὁ θεός ὁ εἰρήνη ἁγιάζω ὑμεῖς ὁλοτελής καί ὁλόκληρος ὑμεῖς ὁ πνεῦμα καί ὁ ψυχή καί ὁ σῶμα
1Th,30,ἄμεμπτος ἐν ὁ παρουσία ὁ κύριος ἡμεῖς ἰησοῦς χριστός τηρέω πιστός ὁ καλέω ὑμεῖς ὅς καί ποιέω ἀδελφός ⸀προσεύχομαι περί ἐγώ ἀσπάζομαι ὁ ἀδελφός πᾶς ἐν φίλημα ἅγιος ⸀ἐνορκίζω ὑμεῖς ὁ κύριος ἀναγιγνώσκω ὁ ἐπιστολή πᾶς ⸀τοῖς ἀδελφός ὁ χάρις ὁ κύριος ἡμεῖς ἰησοῦς χριστός μετά ⸀ὑμῶν
2Co,1,παῦλος ἀπόστολος ⸂Χριστός Ἰησοῦ⸃ς διά θέλημα θεός καί τιμόθεος ὁ ἀδελφός ὁ ἐκκλησία ὁ θεός ὁ εἰμί ἐν κόρινθος σύν ὁ ἅγιος πᾶς ὁ εἰμί ἐν ὅλος ὁ ἀχαΐα · χάρις σύ καί εἰρήνη ἀπό θεός πατήρ ἡμεῖς καί κύριος ἰησοῦς χριστός εὐλογητός ὁ θεός καί πατήρ ὁ κύριος ἡμεῖς
2Co,2,ἰησοῦς χριστός ὁ πατήρ ὁ οἰκτιρμός καί θεός πᾶς παράκλησις ὁ παρακαλέω ἡμεῖς ἐπί πᾶς ὁ θλῖψις ἡμεῖς εἰς ὁ δύναμαι ἡμεῖς παρακαλέω ὁ ἐν πᾶς θλῖψις διά ὁ παράκλησις ὅς παρακαλέω αὐτός ὑπό ὁ θεός ὅτι καθώς περισσεύω ὁ πάθημα ὁ χριστός εἰς ἐγώ οὕτω(ς) διά ὁ χριστός περισσεύω
2Co,3,καί ὁ παράκλησις ἡμεῖς εἴτε δέ θλίβω ὑπέρ ὁ ὑμεῖς παράκλησις καί σωτηρία · ⸂εἴτε παρακαλέω ὑπέρ ὁ ὑμεῖς παρακλήσεως⸃ ὁ ἐνεργέω ἐν ὑπομονή ὁ αὐτός πάθημα ὅς καί ἡμεῖς πάσχω καί ὁ ἐλπίς ἡμεῖς βέβαιος ὑπέρ ⸀ὑμεῖς · οἶδα ὅτι ⸀ὡς κοινωνός εἰμί ὁ πάθημα οὕτω(ς) καί ὁ παράκλησις
2Co,4,οὐ γάρ ἐθέλω ὑμεῖς ἀγνοέω ἀδελφός ⸀ὑπέρ ὁ θλῖψις ἡμεῖς ὁ ⸀γενομένης ἐν ὁ ἀσία ὅτι κατά ὑπερβολή ⸂ὑπέρ δύναμις ἐβαρήθημεν⸃ ὥστε ἐξαπορέομαι ἡμεῖς καί ὁ ζῶ · ἀλλά αὐτός ἐν ἑαυτοῦ ὁ ἀπόκριμα ὁ θάνατος ἔχω ἵνα μή πείθω εἰμί ἐφ ί ἑαυτοῦ άλλὰ ἐπί ὁ θεός ὁ ἐγείρω
2Co,5,ὁ νεκρός · ὅς ἐκ τηλικοῦτος θάνατος ῥύομαι ἡμεῖς καί ⸀ῥύζω εἰς ὅς ἐλπίζω ὅτι καί ἔτι ἐρύω συνυπουργέω καί ὑμεῖς ὑπέρ ἡμεῖς ὁ δέησις ἵνα ἐκ πολύς πρόσωπον ὁ εἰς ἡμεῖς χάρισμα διά πολύς εὐχαριστέω ὑπέρ ⸀ἡμεῖς ὁ γάρ καύχησις ἡμεῖς οὗτος εἰμί ὁ μαρτύριον ὁ συνείδησις ἡμεῖς ὅτι
2Co,6,ἐν ⸀ἁγιότης καί εἰλικρινεία ⸀τοῦ θεός ⸀οὐ ἐν σοφία σαρκικός άλλὰ ἐν χάρις θεός ἀναστρέφω ἐν ὁ κόσμος περισσῶς δέ πρός ὑμεῖς · οὐ γάρ ἄλλος γράφω ὑμεῖς άλλὰ ἤ ὅς ἀναγιγνώσκω ἤ καί ἐπιγιγνώσκω ἐλπίζω δέ ⸀ὅτι ἕως τέλος ἐπιγιγνώσκω καθώς καί ἐπιγιγνώσκω ἡμεῖς ἀπό μέρος ὅτι καύχημα ὑμεῖς
2Co,7,εἰμί καθά καί ὑμεῖς ἡμεῖς ἐν ὁ ἡμέρα ὁ κύριος ⸀ἡμεῖς ἰησοῦς καί οὗτος ὁ πεποίθησις βούλομαι ⸂πρότερος πρός ὑμεῖς ἐλθεῖν⸃ ἵνα δεύτερος ⸀χάρις ⸀σχῆτε καί διὰ ὑμεῖς διέρχομαι εἰς μακεδονία καί πάλιν ἀπό μακεδονία ἔρχομαι πρός ὑμεῖς καί ὑπό ὑμεῖς προπέμπω εἰς ὁ ἰουδαία οὗτος οὖν ⸀βούλομαι μήτι ἆρα
2Co,8,ὁ ἐλαφρία χράω ἤ ὅς βουλεύω κατά σάρξ βουλεύω ἵνα εἰμί παρά ἐγώ ὁ ναί ναί καί ὁ οὐ οὐ πιστός δέ ὁ θεός ὅτι ὁ λόγος ἡμεῖς ὁ πρός σύ οὐ ⸀ἔστιν ναί καί οὐ ὁ ⸂τοῦ θεός γὰρ⸃ υἱός ⸂Ἰησοῦς Χριστὸς⸃ ὁ ἐν σύ διὰ ἡμεῖς κηρύσσω διὰ
2Co,9,ἐγώ καί σιλουανός καί τιμόθεος οὐ γίγνομαι ναί καί οὐ ἀλλά ναί ἐν αὐτός γίγνομαι · ὅσος γάρ ἐπαγγελία θεός ἐν αὐτός ὁ ναί · ⸀διὸ καί ⸂δι ά αὐτοῦ⸃ ὁ ἀμήν ὁ θεός πρός δόξα διὰ ἡμεῖς ὁ δέ βεβαιόω ἡμεῖς σύν σύ εἰς χριστός καί χρίω ἡμεῖς θεός
2Co,10,ὁ καί σφραγίζω ἡμεῖς καί δίδωμι ὁ ἀρραβών ὁ πνεῦμα ἐν ὁ καρδία ἡμεῖς ἐγώ δέ μάρτυς ὁ θεός ἐπικαλέω ἐπί ὁ ἐμός ψυχή ὅτι φείδομαι ὑμεῖς οὐκέτι ἔρχομαι εἰς κόρινθος οὐ ὅτι κυριεύω ὑμεῖς ὁ πίστις ἀλλά συνεργός εἰμί ὁ χαρά ὑμεῖς ὁ γάρ πίστις ἵστημι κρίνω ⸀γάρ ἐμαυτοῦ
2Co,11,οὗτος ὁ μή πάλιν ἐν λύπη πρός σύ ἔρχομαι · εἰ γάρ ἐγώ λυπέω σύ καί ⸀τίς ὁ εὐφραίνω ἐγώ εἰ μή ὁ λυπέω ἐκ ἐγώ καί ⸀ἔγραψα οὗτος αὐτός ἵνα μή ἔρχομαι λύπη ⸀σχῶ ἀπό ὅς δεῖ ἐγώ χαίρω πείθω ἐπί πᾶς σύ ὅτι ὁ ἐμός χαρά πᾶς ὑμεῖς
2Co,12,εἰμί ἐκ γάρ πολύς θλῖψις καί συνοχή καρδία γράφω σύ διά πολύς δάκρυον οὐ ἵνα λυπέω ἀλλά ὁ ἀγάπη ἵνα γιγνώσκω ὅς ἔχω περισσῶς εἰς σύ εἰ δέ τις λυπέω οὐ ἐγώ λυπέω ἀλλά ἀπό μέρος ἵνα μή ἐπιβαρέω πᾶς ὑμεῖς ἱκανός ὁ τοιοῦτος ὁ ἐπιτιμία οὗτος ὁ ὑπό ὁ
2Co,13,πολύς ὥστε ἐναντίος ⸀μᾶλλον ὑμεῖς χαρίζομαι καί παρακαλέω μή οὔπως ὁ περισσός λύπη καταπίνω ὁ τοιοῦτος διό παρακαλέω ὑμεῖς κυρόω εἰς αὐτός ἀγάπη · εἰς οὗτος γάρ καί γράφω ἵνα γιγνώσκω ὁ δοκιμή ὑμεῖς εἰ εἰς πᾶς ὑπήκοος εἰμί ὅς δέ τις χαρίζομαι ἐκἀ ἐγώ · καί γάρ ἐγώ ⸂ὃ
2Co,14,χαρίζομαι εἰ τι⸃ χαρίζομαι διὰ ὑμεῖς ἐν πρόσωπον χριστός ἵνα μή πλεονεκτέω ὑπό ὁ σατανᾶς οὐ γάρ αὐτός ὁ νόημα ἀγνοέω ἔρχομαι δέ εἰς ὁ τρῳάς εἰς ὁ εὐαγγέλιον ὁ χριστός καί θύρα ἐγώ ἀνοίγνυμι ἐν κύριος οὐ ἔχω ἄνεσις ὁ πνεῦμα ἐγώ ὁ μή εὑρίσκω ἐγώ τίτος ὁ ἀδελφός
2Co,15,ἐγώ ἀλλά ἀποτάσσω αὐτός ἐξέρχομαι εἰς μακεδονία ὁ δέ θεός χάρις ὁ πάντοτε θριαμβεύω ἡμεῖς ἐν ὁ χριστός καί ὁ ὀσμή ὁ γνῶσις αὐτός φανερόω διὰ ἐγώ ἐν πᾶς τόπος · ὅτι χριστός εὐωδία εἰμί ὁ θεός ἐν ὁ σῴζω καί ἐν ὁ ἀπόλλυμι ὅς μέν ὀσμή ⸀ἐκ θάνατος εἰς
